sequence_id	gb_primary_accession	gb_locus	sample_type	place_sampled	tissue_sampled	passage_history	passage_cells	pmid_reference	alt_reference	alt_reference_url
KP821503	KP821503	KP821503	field	Galicia	blood	E1C6/36 1BHK5	Mammalian	26252219		
KP821504	KP821504	KP821504	field		Culicoides imicola	E2BHK2PP1BHK2	Mammalian	26252219		
KP821505	KP821505	KP821505	field		blood	KC1	Culicoides	26252219		
KP821506	KP821506	KP821506	field	Corsica		V1BHK5	Mammalian	26252219		
KP821507	KP821507	KP821507	field	Corsica	blood	BHK3	Mammalian	26252219		
KP821508	KP821508	KP821508	field	Corsica	blood	E1BHK2	Mammalian	26252219		
KP821509	KP821509	KP821509	field	Yokneam	spleen	E1BHK5	Mammalian	26252219		
KP821510	KP821510	KP821510	field	Novara di Sicilia-Sicily	Culicoides pulicaris	E1BHK5	Mammalian	26252219		
KP821511	KP821511	KP821511	field	S.Angelo di Brolo-Sicily	spleen	E1BHK7	Mammalian	26252219		
KP821512	KP821512	KP821512	reference	Ermelo-Transvaal		E2BHK7	Mammalian	26252219		
KP821513	KP821513	KP821513	vaccine	Transvaal		E50P3BHK5	Mammalian	26252219		
KP821514	KP821514	KP821514	field	Sardinia	spleen	E1BHK2	Mammalian	26252219		
KP821515	KP821515	KP821515	field	Sardinia	spleen	E1BHK3	Mammalian	26252219		
KP821516	KP821516	KP821516	field	Sardinia	blood	E1BHK3	Mammalian	26252219		
KP821517	KP821517	KP821517	field		blood	E1BHK2	Mammalian	26252219		
KP821518	KP821518	KP821518	field	Nyala	Culicoides spp	LD3BHK5	Mammalian	26252219		
KP821519	KP821519	KP821519	field			E1BHK5	Mammalian	26252219		
KP821520	KP821520	KP821520	field			BHK?	Mammalian	26252219		
KP821521	KP821521	KP821521	reference	Larnaca-Cyprus		E1BHK6	Mammalian	26252219		
KP821522	KP821522	KP821522	field		blood	BHK8	Mammalian	26252219		
KP821523	KP821523	KP821523	field	Ammochostos	spleen	CPAE1BHK6	Mammalian	26252219		
KP821524	KP821524	KP821524	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821525	KP821525	KP821525	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821526	KP821526	KP821526	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821527	KP821527	KP821527	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821528	KP821528	KP821528	field	Poli Chrysochous-Paphos	blood	KC1	Culicoides	26252219		
KP821529	KP821529	KP821529	field			E?BHK?	Mammalian	26252219		
KP821530	KP821530	KP821530	field	Corsica		E1BHK3	Mammalian	26252219		
KP821531	KP821531	KP821531	field	Corsica		E1BHK3	Mammalian	26252219		
KP821532	KP821532	KP821532	field	Corsica		E1BHK4	Mammalian	26252219		
KP821533	KP821533	KP821533	field	Madamados-Lesvos	spleen	E2BHK9	Mammalian	26252219		
KP821534	KP821534	KP821534	field	Mandriko-Rhodes	blood	E2BHK6	Mammalian	26252219		
KP821535	KP821535	KP821535	field	Keramidi-Magnesia	Culicoides obsoletus	BHK6	Mammalian	26252219		
KP821536	KP821536	KP821536	field	Arta	blood	E2BHK5	Mammalian	26252219		
KP821537	KP821537	KP821537	field	Kavala	Culicoides obsoletus	BHK7	Mammalian	26252219		
KP821538	KP821538	KP821538	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821539	KP821539	KP821539	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821540	KP821540	KP821540	field	Rhodes	blood	KC1BHK1	Culicoides-Mammalian	26252219		
KP821541	KP821541	KP821541	field	Elyakim		CE1BHK1	Mammalian	26252219		
